,Supplier,Recipient,No,Weapon,Description,Year,Year(s),Delivered,Comments
469,Belgium,     Morocco,43,M-109A1 155mm,Self-propelled gun,2006,2008,43,Second-hand; M-109A2 version
473,Belgium,     Myanmar,1,EC-120 Colibri,Light helicopter,2016,2016,1,Second-hand
474,Belgium,     NATO**,3,Boeing-707,Transport aircraft,1986,1988-1989,3,Second-hand (modernized in FRG before delivery); Boeing-707-329C version; 'TCA' (Trainer Cargo Aircraft) programme; for use as trainer aircraft for NATO AEW aircraft unit
475,Belgium,     Netherlands,26,M-113,APC,1983,1984,26,M-113A1 version; modified to ARV in Netherlands
476,Belgium,     Nigeria,5,DC-3/C-47 Skytrain,Transport aircraft,1967,1969,5,Second-hand
478,Belgium,     Norway,8,C-119 Packet,Transport aircraft,1954,1956,8,Second-hand
480,Belgium,     Panama,3,CM-90 90mm,Tank turret,1983,1983,3,For 3 V-300 Mk-2 IFV/AFSV from USA
481,Belgium,     Philippines,12,CM-90 90mm,Tank turret,1993,1996-1998,12,For 12 V-300 IFV/ASFV from USA
483,Belgium,     Portugal,3,T-33A Shooting Star,Trainer aircraft,1979,1979,3,Second-hand
484,Belgium,     Qatar,36,LCTS 90mm,Tank turret,1996,1998-1999,36,For 36 Piranha AFSV from UK
485,Belgium,     Rwanda,2,PA-18 Super Cup,Light aircraft,1971,1971,2,Second-hand; aid; L-18C version
486,Belgium,     Saudi Arabia,130,LCTS 90mm,Tank turret,2000,2000-2004,130,For 130 Piranha LAV-90 (LAV-AG) AFSV from Canada
491,Belgium,     Sri Lanka,12,SF-260,Trainer aircraft,1990,1990-1991,12,Second-hand Myanmar SF-260W version sold to Belgian company and resold to Sri Lanka; incl for use against LTTE rebels
492,Belgium,     Turkey,17,F-104G Starfighter,FGA aircraft,1981,1982-1983,17,Second-hand; aid
493,Belgium,     United Kingdom,2,BAe-146,Transport aircraft,2012,2013,2,Second-hand; BAe-146-200QC version; UK designation BAE-146 C-3; acquired for use in Afghanistan
494,Belgium,     United Nations**,15,Pandur,APC,2006,2006,15,Loan; for use by Benin forces in UN operations in DRC
495,Belgium,     Uruguay,20,FN-4RM/62F,Armoured car,1980,1981,20,Second-hand
498,Belgium,     Zimbabwe,17,SF-260,Trainer aircraft,1977,1978,17,Second-hand; 14 possibly supplied from other country; incl SF-260W armed version; Zimbabwan designation Genet
501,Bosnia-Herzegovina, Afghanistan,60,D-30 122mm,Towed gun,2009,2011,60,Second-hand but modernized before delivery
503,Bosnia-Herzegovina,     Cameroon,31,AML-60/90,Armoured car,2002,2002,31,Second-hand; supplied via Israel; AML-90 version
506,Brazil, Afghanistan,6,EMB-314 Super Tucano,Trainer/combat ac,2017,2018,6,Financed by USA; ordered via USA from US production line
507,Brazil,     Nigeria,12,EMB-314 Super Tucano,Trainer/combat ac,2018,,,$329 m deal; from US production line; delivery planned by 2024
508,Brazil,     Portugal,5,C-390,Transport aircraft,2019,,,$920 m deal (incl 12 years support and production of components in Portugal); delivery planned 2023-2027
509,Brazil,     UAE,24,B-250,Trainer/combat aircraft,2019,,,AED2.3 b ($620 m) deal; produced in UAE
510,Brazil,     United Kingdom,130,EMB-312 Tucano,Trainer aircraft,1985,1987-1993,130,$145-150 m deal; option on 15 more not used; UK designation Tucano T-1
511,Brazil,     Afghanistan,20,EMB-314 Super Tucano,Trainer/combat ac,2013,2016,20,$427 m 'LAS' deal (financed by USA); ordered via USA from US production line
512,Brazil,     Angola,2,EMB-111,MP aircraft,1986,1988,2,
516,Brazil,     Argentina,12,DC-3/C-47 Skytrain,Transport aircraft,1960,1961,12,Second-hand
522,Brazil,     Bolivia,8,S-11 Instructor,Trainer aircraft,1973,1974,8,Second-hand
531,Brazil,     Brazil,80,DS-11,Diesel engine,1973,1975-1978,80,For 80 M-3 light tanks rebuilt to X-1A
532,Brazil,     Burkina Faso,3,EMB-314 Super Tucano,Trainer/combat ac,2010,2011,3,
533,Brazil,     Cabo Verde,1,EMB-110 Bandeirante,Light transport ac,1998,1998,1,For coast guard; incl for MP
534,Brazil,     Chile,83,EE-9 Cascavel,Armoured car,1974,1974-1976,83,
543,Brazil,     Colombia,1,DC-4/C-54,Transport aircraft,1968,1969,1,Second-hand; aid
550,Brazil,     Comoros,1,L-410 Turbolet,Light transport ac,2012,2012,1,L-410UVP version; second-hand
551,Brazil,     Cyprus,10,EE-11 Urutu,APC,1982,1984,10,Status uncertain
554,Brazil,     Dominican Republic,8,EMB-314 Super Tucano,Trainer/combat ac,2008,2009-2010,8,Incl for combat role (anti-narcotics operations)
555,Brazil,     Ecuador,18,EE-11 Urutu,APC,1983,1984,18,
560,Brazil,     Egypt,40,EMB-312 Tucano,Trainer aircraft,1983,1984-1988,40,Incl 30 assembled in Egypt; part of $181 m deal incl 80 assembled in Egypt for Iraq
562,Brazil,     France,43,EMB-121 Xingu,Light transport ac,1981,1982-1984,43,Incl for training
564,Brazil,     Gabon,3,EMB-110 Bandeirante,Light transport ac,1980,1980,3,Incl 1 for Presidential Guard
569,Brazil,     Greece,4,EMB-145AEW&C,AEW&C aircraft,1999,2008,4,Part of $476-676 m deal (incl PS-890 Erieye radar fitted in Sweden); EMB-145H version
570,Brazil,     Guyana,1,Bell-412,Helicopter,1981,1985,1,Possibly second-hand
573,Brazil,     Honduras,12,EMB-312 Tucano,Trainer aircraft,1984,1985-1986,12,
574,Brazil,     India,2,ERJ-145,Transport aircraft,2008,2017-2019,2,Part of $210 m deal; modified in India to AEW&C aircraft with Indian radar
575,Brazil,     Indonesia,8,EMB-314 Super Tucano,Trainer/combat ac,2011,2012-2014,8,
578,Brazil,     Iran,25,EMB-312 Tucano,Trainer aircraft,1988,1989-1991,25,
579,Brazil,     Iraq,100,EE-11 Urutu,APC,1979,1980,100,
586,Brazil,     Jordan,28,EE-11 Urutu,APC,1987,1987-1988,28,$50 m deal; for police
587,Brazil,     Lebanon,20,VBTP Guarani,APC,2014,2017,20,Part of EUR30 m deal; ordered via Italy; VBTP-MR version
589,Brazil,     Libya,500,EE-9 Cascavel,Armoured car,1973,1975-1978,500,
591,Brazil,     Malaysia,10,AV-VBL,APC,2000,2002,10,
594,Brazil,     Mali,4,EMB-314 Super Tucano,Trainer/combat ac,2015,2018,4,
595,Brazil,     Mauritania,2,EMB-314 Super Tucano,Trainer/combat ac,2011,2012,2,
596,Brazil,     Mexico,1,EMB-145AEW&C,AEW&C aircraft,2001,2004,1,Part of $230-250 m deal; incl for SIGINT; mainly for anti-narcotics operations
598,Brazil,     Mozambique,3,EMB-312 Tucano,Trainer aircraft,2014,2014,3,Second-hand; aid
599,Brazil,     Namibia,1,Imperial Marinheiro,OPV/tug,2003,2004,1,Second-hand; for use as OPV; Namibian designation Hamaambo
601,Brazil,     Nigeria,75,EE-9 Cascavel,Armoured car,1992,1994,75,
602,Brazil,     Pakistan,100,MAR-1,ARM,2008,2013-2017,100,BRL111 m ($100-126 m) deal
603,Brazil,     Paraguay,5,PT-19 Cornell,Trainer aircraft,1960,1960,5,Second-hand; aid
621,Brazil,     Peru,20,EMB-312 Tucano,Trainer aircraft,1984,1987,20,$32 m deal; incl for combat role (anti-narcotics operations)
624,Brazil,     Philippines,6,EMB-314 Super Tucano,Trainer/combat ac,2017,,,PHP5 b ($100 m) deal; incl for combat role; delivery planned by 2020
625,Brazil,     Qatar,20,EE-9 Cascavel,Armoured car,1978,1979,20,
